st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_20385	100505767	SPDYE18	0.22	0.12	0	0.13	0.27	0.15	0.44	0.24	0	0.28	0.58	0.32	5.07	2.45	0	2.97	6.17	3.42	0.113333333	0.183333333	0.226666667	0.393333333	2.506666667	4.186666667
G9606_8713	1030	CDKN2B	4.12	3.61	3.64	4.07	4.29	4.58	8.32	7.19	7.43	8.63	9.21	9.83	311.22	235.34	270.54	296.08	317.54	333.78	3.79	4.313333333	7.646666667	9.223333333	272.3666667	315.8
G9606_19208	8545	CGGBP1	27.52	26.21	27.32	30.56	31.06	32.67	55.6	52.22	55.71	64.78	66.71	70.15	2383.33	1957.75	2334.53	2581.74	2642.55	2750.87	27.01666667	31.43	54.51	67.21333333	2225.203333	2658.386667
G9606_14226	10575	CCT4	199.34	200.85	194.44	175.76	178.31	175.38	402.75	400.18	396.47	372.54	382.89	376.51	9023.44	7836.29	8698.13	7744.99	7935.42	7716.64	198.21	176.4833333	399.8	377.3133333	8519.286667	7799.016667
G9606_11184	10663	CXCR6	0.17	0.07	0.13	0.19	0.11	0.08	0.34	0.14	0.27	0.41	0.23	0.18	7	3	5	8.97	4	3	0.123333333	0.126666667	0.25	0.273333333	5	5.323333333
G9606_16224	85378	TUBGCP6	9.92	10.06	10.68	10.36	9.61	9.95	20.05	20.05	21.77	21.97	20.64	21.35	1172	1025	1243.56	1190	1114.45	1142.09	10.22	9.973333333	20.62333333	21.32	1146.853333	1148.846667
G9606_14968	374	AREG	0.69	0.95	0.65	0.88	0.66	0.88	1.39	1.89	1.33	1.87	1.41	1.9	16	19	15	20	15	20	0.763333333	0.806666667	1.536666667	1.726666667	16.66666667	18.33333333
G9606_6319	51816	ADA2	0.23	0.16	0.24	0.31	0.18	0.12	0.47	0.32	0.48	0.65	0.39	0.26	17.29	11.22	21.09	23.72	14.44	10.11	0.21	0.203333333	0.423333333	0.433333333	16.53333333	16.09
G9606_27085	84687	PPP1R9B	37.31	37.18	37	41.15	40.17	39.84	75.37	74.07	75.44	87.23	86.26	85.54	3048	2619.41	2981.06	3269.5	3222.99	3165.37	37.16333333	40.38666667	74.96	86.34333333	2882.823333	3219.286667
G9606_180	79830	ZMYM1	6.37	6.45	5.84	5.62	5.34	6.47	12.88	12.85	11.91	11.92	11.47	13.9	576.9	490.51	520.18	488.77	498.9	562.16	6.22	5.81	12.54666667	12.43	529.1966667	516.61
G9606_3917	6871	TADA2A	12.54	13.44	14.37	10.68	11	11.88	25.34	26.78	29.3	22.65	23.62	25.5	634.06	545.7	651.64	521.65	535.49	561.94	13.45	11.18666667	27.14	23.92333333	610.4666667	539.6933333
G9606_14972	142	PARP1	93.04	94	95.33	92.4	92.58	94.68	187.97	187.28	194.38	195.84	198.81	203.28	7174	6250.68	7249.16	6928	7010.49	7099.12	94.12333333	93.22	189.8766667	199.31	6891.28	7012.536667
G9606_20193	2629	GBA	39.09	41.03	41.63	40.24	40.75	37.87	78.98	81.74	84.9	85.28	87.5	81.3	1707	1552	1794.01	1691.03	1731.97	1600.02	40.58333333	39.62	81.87333333	84.69333333	1684.336667	1674.34
G9606_18550	122773	KLHDC1	0.14	0.24	0.16	0.31	0.28	0.05	0.29	0.49	0.32	0.67	0.61	0.1	9.85	13.01	9.55	18.94	17.2	2.84	0.18	0.213333333	0.366666667	0.46	10.80333333	12.99333333
G9606_4676	6262	RYR2	0.01	0	0.01	0.01	0.01	0.01	0.03	0	0.02	0.03	0.01	0.03	4	0	3	4	2	4	0.006666667	0.01	0.016666667	0.023333333	2.333333333	3.333333333
G9606_33044	84418	CYSTM1	68.49	65.94	68.26	58.41	61.97	65.42	138.38	131.38	139.19	123.81	133.07	140.44	996	826.99	979	826.05	884.98	925	67.56333333	61.93333333	136.3166667	132.44	933.9966667	878.6766667
G9606_32429	9936	CD302	5.17	4.55	4.78	4.87	5.57	5.93	10.44	9.07	9.74	10.32	11.97	12.73	391.2	296.43	356.48	358.67	414.33	436.03	4.833333333	5.456666667	9.75	11.67333333	348.0366667	403.01
G9606_9712	2531	KDSR	4.83	5.32	5.1	6.48	6.63	6.76	9.76	10.61	10.39	13.73	14.23	14.51	480.44	456.86	502.24	626.81	647	656.08	5.083333333	6.623333333	10.25333333	14.15666667	479.8466667	643.2966667
G9606_10471	6038	RNASE4	2.27	2.15	2.47	3.05	2.32	2.68	4.58	4.28	5.04	6.46	4.98	5.75	91.61	73.09	99.11	117.08	92.05	102.83	2.296666667	2.683333333	4.633333333	5.73	87.93666667	103.9866667
G9606_21063	1959	EGR2	0.02	0.19	0.14	0.12	0.24	0.17	0.04	0.38	0.28	0.25	0.51	0.36	1	9.04	7.05	6.04	12.05	9.1	0.116666667	0.176666667	0.233333333	0.373333333	5.696666667	9.063333333
G9606_5878	9666	DZIP3	11.22	10.65	11.08	10.46	10.58	11.31	22.67	21.22	22.58	22.16	22.72	24.28	1047.28	870.21	1029.64	970.41	993.18	1043.35	10.98333333	10.78333333	22.15666667	23.05333333	982.3766667	1002.313333
G9606_10344	8774	NAPG	8.67	7.52	7.51	7.43	7.52	7.56	17.51	14.99	15.32	15.75	16.15	16.24	597	444.74	497.97	498.46	503.81	498.99	7.9	7.503333333	15.94	16.04666667	513.2366667	500.42
G9606_4500	955	ENTPD6	34.73	37.79	36.73	31.98	34.17	32.83	70.16	75.29	74.9	67.79	73.36	70.48	1776	1664.69	1866	1592	1729.45	1630.02	36.41666667	32.99333333	73.45	70.54333333	1768.896667	1650.49
G9606_9551	79675	FASTKD1	8.13	7.52	8.07	7.51	6.46	8.43	16.43	14.98	16.46	15.91	13.86	18.09	622.68	458.51	576.16	581.8	548.01	615.66	7.906666667	7.466666667	15.95666667	15.95333333	552.45	581.8233333
G9606_17956	90550	MCU	27.64	25.98	26.8	27.2	26.99	26.36	55.84	51.76	54.64	57.64	57.96	56.59	1575	1275.89	1504.45	1504.72	1509.96	1458.05	26.80666667	26.85	54.08	57.39666667	1451.78	1490.91
G9606_16098	6905	TBCE	27.12	26.03	26.2	23.42	24.22	24.07	54.78	51.86	53.43	49.63	52.01	51.67	1144.04	949.23	1099.08	976.47	1008.9	1020.43	26.45	23.90333333	53.35666667	51.10333333	1064.116667	1001.933333
G9606_33917	107984751	LOC107984751	0.14	0.16	0.14	0.18	0.11	0.14	0.29	0.32	0.28	0.38	0.23	0.29	34.06	32.92	32.08	41.59	25.51	31.66	0.146666667	0.143333333	0.296666667	0.3	33.02	32.92
G9606_32202	890	CCNA2	98.69	91.36	91.37	88.97	88.08	90.8	199.39	182.03	186.31	188.57	189.14	194.93	5227.51	4173.56	4773.12	4582.54	4581.58	4676.5	93.80666667	89.28333333	189.2433333	190.88	4724.73	4613.54
G9606_17568	51807	TUBA8	1.36	1.53	1.64	1.69	1.65	1.66	2.74	3.06	3.34	3.58	3.53	3.57	52	49.97	61.99	62.01	61.98	62.06	1.51	1.666666667	3.046666667	3.56	54.65333333	62.01666667
G9606_9587	55677	IWS1	26.04	25.66	27.64	27.64	27.53	27.75	52.62	51.13	56.35	58.58	59.12	59.58	1480	1250.75	1557	1526.91	1533	1525.27	26.44666667	27.64	53.36666667	59.09333333	1429.25	1528.393333
G9606_16241	2525	FUT3	0.14	0.1	0	0.11	0.1	0.1	0.28	0.19	0	0.23	0.22	0.21	6.52	4.16	0	5.26	4.98	4.68	0.08	0.103333333	0.156666667	0.22	3.56	4.973333333
