gene_symbol,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status
SPIRE1,12.32,13.83666667,24.85333333,29.58666667,1.1231060608766232,0.16749417553510365,Below fold-change threshold
SMYD5,31.38,28.62333333,63.29,61.19666667,0.9121521137667304,-0.13265366142119933,Below fold-change threshold
CCDC34,19.77666667,18.36666667,39.89,39.26666667,0.9287038597794195,-0.10670946398280413,Below fold-change threshold
SPATA31A3,0.013333333,0.013333333,0.03,0.026666667,1.0,0.0,Below fold-change threshold
PIAS4,15.21666667,15.75666667,30.68,33.69,1.0354874041543292,0.05031000447623445,Below fold-change threshold
ACSM2A,0.036666667,0.033333333,0.076666667,0.073333333,0.9090908917355374,-0.13750355129229477,Below fold-change threshold
FBXO7,47.67666667,44.58,96.18666667,95.32,0.935048591139268,-0.09688675622490515,Below fold-change threshold
PAFAH2,3.096666667,3.023333333,6.236666667,6.46,0.976318621961645,-0.03457604616848816,Below fold-change threshold
ARV1,14.04333333,13.97666667,28.31,29.89,0.9952527894600648,-0.006865085029353347,Below fold-change threshold
VAMP8,1.636666667,1.72,3.3,3.68,1.050916496730974,0.07164804081473294,Below fold-change threshold
COPS2,15.53,14.24333333,31.34666667,30.46,0.9171496027044431,-0.1247710137649761,Below fold-change threshold
DCLRE1A,4.683333333,4.79,9.45,10.24,1.0227758007845391,0.03248993145173077,Below fold-change threshold
MUC3A,0.003333333,0.013333333,0.006666667,0.033333333,4.00000030000003,2.000000108202135,Upregulated
TOP2A,154.9233333,166.9766667,312.6266667,356.9933333,1.0778019239791299,0.10809206719070737,Below fold-change threshold
MYRF,25.12666667,28.93,50.7,61.86,1.1513664100356373,0.20334702879500963,Below fold-change threshold
PARG,11.36,13.21333333,22.91666667,28.26666667,1.163145539612676,0.21803162659670053,Below fold-change threshold
DENND4A,3.986666667,4.87,8.046666667,10.41666667,1.2215719062523769,0.2887387884847666,Below fold-change threshold
KCTD8,0.026666667,0.0,0.056666667,0.0,0.0,,Below fold-change threshold
GNG2,1.746666667,1.8,3.526666667,3.843333333,1.0305343509483713,0.04339259523805714,Below fold-change threshold
TMEM243,8.466666667,9.313333333,17.08,19.91333333,1.0999999999173227,0.1375035236415002,Below fold-change threshold
RNASEK,269.6033333,253.8266667,543.6266667,542.5366667,0.9414819304832387,-0.08699468889797633,Below fold-change threshold
SLC38A5,0.19,0.116666667,0.38,0.25,0.6140350894736842,-0.7036069930977893,Below fold-change threshold
RSRP1,15.04,16.35333333,30.33,34.94666667,1.08732269481383,0.12078016586474115,Below fold-change threshold
CHMP1B,16.50666667,17.08333333,33.3,36.52,1.0349353792336558,0.049540689493068404,Below fold-change threshold
IL1RN,0.01,0.01,0.02,0.023333333,1.0,0.0,Below fold-change threshold
PTCH2,1.663333333,1.626666667,3.36,3.476666667,0.9779559122200313,-0.03215866718962269,Below fold-change threshold
SMTNL1,0.02,0.043333333,0.043333333,0.093333333,2.1666666500000002,1.115477206322282,Upregulated
TECRL,0.02,0.03,0.036666667,0.07,1.5,0.5849625007211562,Below fold-change threshold
TSC22D3,6.153333333,7.876666667,12.41333333,16.83333333,1.280065005540632,0.3562170764672787,Below fold-change threshold
GSK3B,9.536666667,10.40333333,19.24666667,22.24333333,1.0908773152362503,0.1254888590833469,Below fold-change threshold
DEFA3,0.076666667,0.0,0.153333333,0.0,0.0,,Below fold-change threshold
BCL10,6.803333333,6.4,13.73666667,13.68333333,0.9407153356658852,-0.08816987135351487,Below fold-change threshold
